,Income,Religion,Count
214,Don't know/Refused (VOL.), Unitarian (Universalist) (VOL) ,5
215,Don't know/Refused (VOL.), Unity; Unity Church Christ Church Unity (VOL) ,1
216,Don't know/Refused (VOL.), Zoroastrianism (VOL) ,3
217,"Less than $10,000", Agnostic (not sure if there is a God) ,2
218,"Less than $10,000", Atheist (do not believe in God) ,10
219,"Less than $10,000", Buddhist ,5
220,"Less than $10,000", Christian (VOL) ,29
221,"Less than $10,000", Christian Scientists (VOL) ,2
222,"Less than $10,000", Don’t know/Refused (VOL) ,13
223,"Less than $10,000", Hindu ,1
224,"Less than $10,000", Jehovah’s Witness (VOL) ,13
225,"Less than $10,000", Jewish (Judaism) ,12
226,"Less than $10,000"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ",1
227,"Less than $10,000", Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ,29
228,"Less than $10,000", Muslim (Islam) ,6
229,"Less than $10,000", Native American Religions (VOL) ,1
230,"Less than $10,000", Nothing in particular ,145
231,"Less than $10,000"," Orthodox (Greek, Russian, or some other orthodox church) ",14
232,"Less than $10,000", Pagan (VOL) ,1
233,"Less than $10,000", Protestant ,1115
234,"Less than $10,000", Roman Catholic ,526
235,"Less than $10,000", Spiritualist (VOL) ,1
236,"Less than $10,000", Unitarian (Universalist) (VOL) ,2
237,"Less than $10,000", Wica (Wiccan) (VOL) ,1
238,"Less than $10,000", Zoroastrianism (VOL) ,1
